gate_event_id,device_id,station_id,zone_code,route_id,service_date,passenger_count
MGATE_STN_007_0,GATE_DEV_STN_007,STN_007,Z-EAST,R3,2026-04-15,5
MGATE_STN_007_1,GATE_DEV_STN_007,STN_007,Z-EAST,R3,2026-04-15,6
MGATE_STN_007_2,GATE_DEV_STN_007,STN_007,Z-EAST,R3,2026-04-15,7
MGATE_STN_007_3,GATE_DEV_STN_007,STN_007,Z-EAST,R3,2026-04-15,5
MGATE_STN_008_0,GATE_DEV_STN_008,STN_008,Z-EAST,R3,2026-04-15,5
MGATE_STN_008_1,GATE_DEV_STN_008,STN_008,Z-EAST,R3,2026-04-15,6
MGATE_STN_008_2,GATE_DEV_STN_008,STN_008,Z-EAST,R3,2026-04-15,7
MGATE_STN_008_3,GATE_DEV_STN_008,STN_008,Z-EAST,R3,2026-04-15,5
MGATE_STN_009_0,GATE_DEV_STN_009,STN_009,Z-EAST,R3,2026-04-15,5
MGATE_STN_009_1,GATE_DEV_STN_009,STN_009,Z-EAST,R3,2026-04-15,6
MGATE_STN_009_2,GATE_DEV_STN_009,STN_009,Z-EAST,R3,2026-04-15,7
MGATE_STN_009_3,GATE_DEV_STN_009,STN_009,Z-EAST,R3,2026-04-15,5
