gate_event_id,device_id,station_id,zone_code,route_id,service_date,passenger_count
MGATE_STN_001_0,GATE_DEV_STN_001,STN_001,Z-CENTRAL,R1,2026-04-15,5
MGATE_STN_001_1,GATE_DEV_STN_001,STN_001,Z-CENTRAL,R1,2026-04-15,6
MGATE_STN_001_2,GATE_DEV_STN_001,STN_001,Z-CENTRAL,R1,2026-04-15,7
MGATE_STN_001_3,GATE_DEV_STN_001,STN_001,Z-CENTRAL,R1,2026-04-15,5
MGATE_STN_002_0,GATE_DEV_STN_002,STN_002,Z-CENTRAL,R1,2026-04-15,5
MGATE_STN_002_1,GATE_DEV_STN_002,STN_002,Z-CENTRAL,R1,2026-04-15,6
MGATE_STN_002_2,GATE_DEV_STN_002,STN_002,Z-CENTRAL,R1,2026-04-15,7
MGATE_STN_002_3,GATE_DEV_STN_002,STN_002,Z-CENTRAL,R1,2026-04-15,5
MGATE_STN_003_0,GATE_DEV_STN_003,STN_003,Z-CENTRAL,R1,2026-04-15,5
MGATE_STN_003_1,GATE_DEV_STN_003,STN_003,Z-CENTRAL,R1,2026-04-15,6
MGATE_STN_003_2,GATE_DEV_STN_003,STN_003,Z-CENTRAL,R1,2026-04-15,7
MGATE_STN_003_3,GATE_DEV_STN_003,STN_003,Z-CENTRAL,R1,2026-04-15,5
