service_date,station_id,readings,gate_count
2026-04-13,STN_001,6,24
2026-04-13,STN_002,6,24
2026-04-13,STN_003,6,24
2026-04-13,STN_004,6,30
2026-04-13,STN_005,6,30
2026-04-13,STN_006,6,30
2026-04-13,STN_007,6,30
2026-04-13,STN_008,6,30
2026-04-13,STN_009,6,30
2026-04-13,STN_010,6,24
2026-04-13,STN_011,6,24
2026-04-13,STN_012,6,24
2026-04-13,STN_MAINT,2,16
2026-04-14,STN_001,6,24
2026-04-14,STN_002,6,24
2026-04-14,STN_003,6,24
2026-04-14,STN_004,6,30
2026-04-14,STN_005,6,30
2026-04-14,STN_006,6,30
2026-04-14,STN_007,6,30
2026-04-14,STN_008,6,30
2026-04-14,STN_009,6,30
2026-04-14,STN_010,6,24
2026-04-14,STN_011,6,24
2026-04-14,STN_012,6,24
2026-04-14,STN_MAINT,2,16
2026-04-15,STN_001,6,24
2026-04-15,STN_002,6,24
2026-04-15,STN_003,6,24
2026-04-15,STN_004,6,30
2026-04-15,STN_005,6,30
2026-04-15,STN_006,6,30
2026-04-15,STN_007,6,30
2026-04-15,STN_008,6,30
2026-04-15,STN_009,6,30
2026-04-15,STN_010,6,24
2026-04-15,STN_011,6,24
2026-04-15,STN_012,6,24
2026-04-15,STN_MAINT,2,16
